,index,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 64
22,99214,Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,405.936563187369,449.967116110148,453.587406630206,492.39255618705704,501.18224081551597,507.90238909694506,550.380458966978,685.936583955735,698.6240972748061,732.3836412640179,798.8460699158501,789.8913074872611,826.412657111948,845.8666242628329,888.916390144232,946.9515427888251,987.0138149234,1020.7428646310001,1056.8433310595099,1114.5531934371002,1165.3279241718199,1234.5692721928,1339.54374851828,1415.0568013763598,1472.74747693367,1553.510979578,1638.0229316765601,1909.96122202417,1980.9624082287398,2091.93921066837,2312.86009558743,2467.30959352762,2561.83017723258,2584.82983708118,2699.82030505767,2844.32290157861,3035.65870806956,3138.44234196275,
23,100645,Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1005.4085002693499,1006.5936513896302,1042.06401883149,1091.03807401752,1111.69104879084,1142.8895984375,1199.98974582606,1249.67794973272,1328.23087523649,1358.65715474943,1399.51523086,1439.01184325452,1520.26819950801,1572.74368482085,1583.77520127802,1662.4824588025501,1701.09258633384,1746.45013311798,1743.38949578868,1708.1692049378198,1649.2556285906799,1619.79081935104,1524.61415484069,1433.77484412013,1402.22516180094,1350.75411360993,1288.94023118672,1293.28608745006,1303.10781008416,1324.16334971762,1356.53993740886,1398.12306298772,1391.4801682536802,1420.7432760215802,1456.39460529322,1493.41846771504,1527.11134094105,1570.82497822518,1617.36710627811,1592.73741489358,1601.41665812106,1597.64201121273,1606.90467715541,1620.2636639274301,1657.50512835135,1700.18279095051,1750.8030482860502,1799.4985461138199,1878.1103131111,1909.0845881293399,1955.4615573609801,2024.1173243825501,2094.02421738306,2201.3968477768803,2286.0131982342605,2361.0565812197897,2425.56159007818,2490.9563143467103,
24,102076,Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.745597451062,870.2603164700321,1672.65387866651,2264.9327179420898,2619.47720085632,2864.0314628067895,3015.25262449236,3144.2892280481897,3307.52380723641,3437.27747005943,3644.99220217577,3963.06935422939,4177.65632487854,4425.38289682977,4676.11815348177,4557.96351908517,4635.51777931783,4736.59374702643,4770.9104099763,4969.0419185846795,5113.415890716789,5352.40178524424,5591.027961695171,5827.690224878829,
25,103507,Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,407.782303249144,425.24144963485605,443.984364776768,459.81983468007894,480.308055556698,497.232311514922,517.710640782557,536.996180282175,580.9549127074299,653.11165183878,744.9229889209621,910.252015366313,1114.44320922989,1307.14021619564,1372.79249442498,1435.23920665271,1529.01854120517,1647.3249274952698,1811.17393074742,1954.6420488681101,2108.99588888295,2219.72731805281,2405.81690370222,2631.22790662145,2758.30505721258,2849.4674045906104,2967.5946034905896,3193.8142489006395,3671.4434346059206,4002.76152423799,4133.45822711231,4309.25704888118,4313.86397969188,4284.79210375981,4332.02905449455,4525.76850950519,4676.43569022036,4948.40522922904,4858.70631921133,5214.4462211564705,5211.073705199899,5126.3541863134005,5341.92009255573,5493.1441158095395,5542.30542660652,5686.78053185044,6038.79181048478,6400.71756767326,6657.83238251693,6029.19863060839,6434.81565688465,6728.201954094189,6944.80763670943,7646.414314602579,7864.25328125683,7613.69840975739,7797.146804916941,7859.439477482209,
26,104938,Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3417.3524419097103,3660.3914991112606,3740.43327985188,3664.9775984028706,3685.4928917748207,3692.8457891073203,3741.85563623891,3821.46106263661,4147.38172722123,4435.37902964333,4704.317561228189,5108.40338585586,5587.88625565948,6219.51401630693,6623.41550847593,6805.298287553361,7296.34748425015,7453.590172205921,7514.289263014391,7835.0703131317005,8349.487820191851,7796.854343949829,7660.578572917149,7230.716108329871,7442.97241093524,7862.70351931771,8316.516808673821,8445.712011688209,8276.32686747308,8389.97872278077,7983.74677607675,7963.11180852077,7791.757425484991,8020.6065740125505,8311.56088840077,8540.076878029091,8591.01470912416,8744.84634619226,8641.275309448349,8554.072776161122,8803.15252917931,8804.32948764487,8954.837245341741,8943.82848255785,9346.039343163678,9535.41883036578,9805.724506109771,10293.530341463,10710.8722205603,10594.9865923924,11286.2430162457,11627.810390423601,11745.7786214898,11993.4839848731,11951.2094463497,11431.1544808449,10962.625494400601,10990.1866770681,
28,107800,Brunei Darussalam,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,45632.246666336796,43937.4687884357,50735.5767258862,54169.989767425,55768.5377360157,66019.8751942031,59413.3946135826,46170.9932631625,46590.017634557305,45496.4992969116,44489.9551564721,42601.6376823434,40284.280324473395,39943.672880636805,39251.6875894504,37740.7782163524,37080.905766838,37171.474907655094,37848.1292503919,36913.6461243111,37052.267969063396,37713.6899412144,37842.9279965812,36409.3719864638,35390.7901840577,35680.9788660012,35931.5965013377,36171.8050676004,36841.294212989706,37212.4669053931,36761.2498220737,36329.4982777345,37399.74000641,36987.8415885984,35844.4160068892,34800.5635264382,35269.5531076448,36121.891977592,35967.3283979567,34729.826625689704,33471.1464519954,32869.2866185522,31685.2254544178,31752.787464523502,
29,109231,Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3223.80899433698,3370.52919134631,3439.0282594188297,3548.1321490421797,3660.06888345894,3758.3400271953706,3917.5147950700702,4148.59381224382,4597.475431576439,4498.55198005699,4162.8157043375395,3849.18630135359,3607.79367407921,3582.8561159893397,3660.4019767122795,3781.9034919729497,3828.24642187336,3809.6865134648706,4078.68930627734,3756.7508529571796,3955.27580157865,4186.92041902769,4532.8538693831,4804.48436237995,5152.41400784508,5561.163842736049,5988.77095056511,6476.05420316886,6914.39843478088,6709.52731467062,6843.26694975885,7019.17404574254,7062.134977376651,7136.845978163821,7309.4151151671995,7611.550878008771,7966.882008828579,8331.15227287203,
30,110662,Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,238.85456236099603,245.198582661663,256.777174402718,250.11785203758203,252.261831813637,257.91507753529,255.28153124882004,273.300218245601,276.974204233536,277.77409110200597,273.33151551225,272.410460368818,273.83695464318,270.182895737443,287.264561673976,290.373108648389,309.153850689155,304.24222681752497,311.83417878584703,316.437746591525,311.891569083801,317.607545255431,339.56329188477997,332.260179910774,318.102431922458,336.411586413563,353.88801900610804,343.970454997046,354.488976474489,352.67785955380504,341.352617189917,362.478919951271,353.668786014067,356.128863354102,351.10445867886904,361.12142196734703,389.965445880457,403.21694361674497,420.723454429533,439.29972639747706,434.76333044421204,450.452280722016,456.73413491079003,478.304352301957,485.30740434280295,511.967590461138,527.962387666167,541.268695046728,563.447103417816,562.841972573867,575.446452687734,595.392988928601,615.095970788297,631.610260603211,639.7080956226349,645.369860579085,664.02363057197,685.757486149844,
31,112093,Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,213.39688081986,180.545876285742,193.19188066589402,197.305647300731,205.39640059123198,208.846076720306,213.235282410668,236.535680939732,229.915102622963,221.45091640123798,263.643956763226,266.978062580072,247.104003747795,261.529170917932,256.68733040708804,254.67594759614602,269.801511616064,294.225338609102,284.46008562152804,281.917260438568,277.447458631793,303.227653673613,292.277811386532,295.196478335089,287.749697844271,312.872113350282,314.056875533449,322.086263161854,329.025420980918,324.771190295123,327.98668193329104,336.580270395656,332.76587545965197,305.948149312137,289.196918329432,262.375065939413,238.474631535111,232.305477391278,240.844572896698,235.309285692169,229.206107263877,228.66038881125098,232.466497747919,222.807321080131,226.28847164980098,221.096374710531,225.622210413864,225.859085274657,229.148545082546,230.19259850877103,234.23564687499902,235.988766659787,238.816045825172,242.84599465744898,245.32673873356498,228.432544171606,219.961497757751,214.139246201959,
32,113524,Cabo Verde,CPV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,680.4932817885599,725.6576535942329,732.0157637207479,785.751340734068,799.746166058322,853.411557289822,864.2247402593409,888.7793562233611,928.7428592586659,965.5579642274209,952.761936639586,943.035124969747,1018.1647608187101,1075.69783656917,1246.77929698896,1387.55723762439,1508.86911961384,1640.44123502492,1808.84323213095,1973.8603881474398,2215.06817019014,2225.41211002855,2303.97134518707,2362.9610733969503,2565.7804996848104,2705.13463478074,2882.88994648951,3279.0783567510402,3455.1017668217,3370.35023611401,3378.2548595003495,3468.66705505948,3461.92665130578,3445.30537729537,3422.7488017037604,3414.5579842107104,3532.14021075649,3630.48379237243,
